No.,storeNumber,countryCode,ownershipTypeCode,latitude,longitude,address,city,countrySubdivisionCode,postalCode,windowsTimeZoneId,GMT,GMT_region,Mon_open,Mon_close,Tue_open,Tue_close,Wed_open,Wed_close,Thu_open,Thu_close,Fri_open,Fri_close,Sat_open,Sat_close,Sun_open,Sun_close
16569,66002-300418,JP,CO,34.772292,137.982202,280-1 Saida,kakegawa,22,436-0048,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16570,25218-240247,JP,CO,34.709692,137.697012,3-52-34 Sanarudai Naka-ku,hamamatsu,22,432-8021,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16571,3692-146088,JP,LS,34.700629,137.698859,621-1 Irinocho Nishi-ku,hamamatsu,22,432-8061,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16572,30554-96700,JP,CO,34.69658,137.650706,2-37-1 Shitoro Nishi-ku,hamamatsu,22,432-8069,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16573,31455-108700,JP,CO,34.781439,137.60726,61-2 Sakume Mikkabicho Kita-ku,hamamatsu,22,431-1401,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16574,56369-289333,JP,CO,34.8501,138.264354,1-8-42 Takayanagicho,fujieda,22,426-0041,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16575,62626-297108,JP,CO,34.730487,137.400367,6-4 Minamimatsubara Akebonocho,toyohashi,23,441-8151,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16576,29049-231666,JP,CO,34.874145,138.258792,1-2 Honmachi,fujieda,22,426-0018,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16577,60490-293436,JP,CO,34.877790999999995,138.311979,2-1-1 Yagusu,yaizu,22,425-0091,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16578,55274-286714,JP,CO,34.958084,138.387944,430-1 Nakahara Suruga-ku,shizuoka,22,422-8058,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16579,29254-253128,JP,CO,34.975598,138.380658,1-20 Gofukucho Aoi-ku,shizuoka,22,420-0031,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16580,30270-53579,JP,CO,34.973672,138.38433500000002,2-8-9 Gofukucho Aoi-ku,shizuoka,22,420-0031,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16581,54298-286561,JP,LS,34.971632,138.38891999999998,47 Kuroganecho Aoi-ku,shizuoka,22,420-0851,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16582,31470-110090,JP,LS,34.971579,138.389181,39-1 Kuroganecho Aoi-ku,shizuoka,22,420-0851,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16583,30653-100506,JP,CO,34.958678000000006,138.401188,1-5-1 Ishida Suruga-ku,shizuoka,22,422-8042,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16584,18939-188485,JP,CO,34.984435999999995,138.40918100000002,1026 Yunoki Aoi-ku,shizuoka,22,420-0821,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16585,32077-132231,JP,CO,36.68142,137.259579,1330 Hiraki,toyama,16,930-0944,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16586,22691-223984,JP,CO,36.673548,137.201298,3-6-7 Nunosemachiminami,toyama,16,939-8208,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16587,31962-126368,JP,CO,36.689623,137.213184,3-8-6 Sogawa,toyama,16,930-0083,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16588,22272-219286,JP,CO,36.700531,137.21365,1-1-61 Sakuramachi,toyama,16,930-0003,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16589,31278-107029,JP,CO,39.683096,141.12868799999998,7-1-1 Motomiya,morioka,3,020-0866,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16590,20218-204228,JP,CO,39.668325,141.134213,4-12-20 Kitaiioka,morioka,3,020-0857,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16591,27389-247467,JP,CO,39.700752,141.137435,1-44 Moriokaekimaedori,morioka,3,020-0034,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16592,30381-78922,JP,CO,39.701589,141.146838,1-11-11 Saien,morioka,3,020-0024,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16593,30494-93079,JP,CO,39.711315,141.099137,4-7-1 Maegata,morioka,3,020-0148,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16594,48563-263846,JP,CO,39.293762,141.100248,"96-2 18-chiwari, Kitaoniyanagi",kitakami,3,024-0072,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16595,54116-286199,JP,CO,39.146275,141.154943,57-2 Haguroda Mizusawa-sakurakawa,oshu,3,023-0003,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16596,50134-271407,JP,CO,35.347026,137.10933899999998,4-48-2 Hikarigaoka,tajimi,21,507-0052,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16597,57416-288389,JP,CO,35.375559,136.952301,2-116 Umetsubo,inuyama,23,484-0074,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16598,63755-297170,JP,CO,35.422659,137.06308700000002,6-1 Hiromi,kani,21,509-0214,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16599,30620-100746,JP,CO,35.639896,139.599042,2-40-25 Seijo,setagaya-ku,13,157-0066,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16600,65519-299950,JP,LS,35.647147,139.623315,1-9-45 Funabashi,setagaya-ku,13,156-0055,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16601,30153-20162,JP,CO,35.661394,139.585779,1-49-2 Sengawacho,chofu,13,182-0002,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
16602,31219-190106,JP,CO,35.677566,139.566494,6-20-2 Shinkawa,mitaka,13,181-8611,Tokyo Standard Time,GMT+09:00,Asia/Tokyo,,,,,,,,,,,,,,
